freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.818e+02,8.414e+00,1.162e+01,6.019e+02
1.6,3.344e+02,3.678e+01,5.142e+01,4.226e+02
3.1,3.686e+01,4.165e+01,5.937e+01,1.379e+02
4.7,4.111e+02,3.895e+01,5.592e+01,5.060e+02
6.3,1.352e+03,3.963e+01,5.897e+01,1.451e+03
7.8,2.162e+03,4.100e+01,5.581e+01,2.259e+03
9.4,3.116e+03,3.897e+01,5.742e+01,3.212e+03
11.0,4.359e+03,4.394e+01,5.732e+01,4.460e+03
12.5,5.869e+03,3.910e+01,5.324e+01,5.962e+03
14.1,7.498e+03,3.961e+01,5.668e+01,7.594e+03
15.7,9.347e+03,4.308e+01,5.821e+01,9.448e+03
17.2,1.169e+04,4.582e+01,6.093e+01,1.180e+04
18.8,1.464e+04,4.462e+01,6.006e+01,1.475e+04
20.4,1.842e+04,4.377e+01,6.035e+01,1.852e+04
22.0,1.989e+04,4.852e+01,6.607e+01,2.001e+04
23.5,1.942e+04,6.283e+01,6.831e+01,1.955e+04
25.1,2.035e+04,6.342e+01,7.049e+01,2.049e+04
26.7,2.352e+04,5.823e+01,6.626e+01,2.364e+04
28.2,2.682e+04,5.631e+01,6.115e+01,2.694e+04
29.8,3.063e+04,4.773e+01,5.827e+01,3.074e+04
31.4,3.657e+04,4.251e+01,5.617e+01,3.667e+04
32.9,4.140e+04,3.937e+01,6.626e+01,4.150e+04
34.5,4.682e+04,3.593e+01,7.986e+01,4.693e+04
36.1,5.698e+04,3.768e+01,1.010e+02,5.712e+04
37.6,6.984e+04,4.224e+01,8.692e+01,6.997e+04
39.2,8.323e+04,4.390e+01,6.711e+01,8.335e+04
40.8,9.054e+04,4.202e+01,7.452e+01,9.066e+04
42.3,1.008e+05,3.882e+01,9.973e+01,1.009e+05
43.9,1.239e+05,3.781e+01,1.227e+02,1.240e+05
45.5,1.550e+05,3.677e+01,1.288e+02,1.552e+05
47.0,1.944e+05,4.144e+01,1.303e+02,1.946e+05
48.6,2.454e+05,4.951e+01,1.462e+02,2.456e+05
50.2,3.092e+05,5.613e+01,1.847e+02,3.094e+05
51.7,3.754e+05,5.877e+01,2.121e+02,3.757e+05
53.3,4.538e+05,5.470e+01,2.261e+02,4.541e+05
54.9,6.426e+05,6.479e+01,4.274e+02,6.431e+05
56.5,1.003e+06,2.394e+02,2.135e+03,1.006e+06
58.0,1.639e+06,1.700e+03,1.003e+04,1.651e+06
59.6,2.456e+06,4.832e+03,1.864e+04,2.480e+06
61.2,3.326e+06,8.239e+03,1.873e+04,3.353e+06
62.7,3.423e+06,8.148e+03,1.333e+04,3.445e+06
64.3,2.643e+06,5.124e+03,9.960e+03,2.658e+06
65.9,1.883e+06,2.540e+03,7.341e+03,1.893e+06
67.4,1.439e+06,2.097e+03,6.142e+03,1.447e+06
69.0,1.030e+06,1.358e+03,3.849e+03,1.035e+06
70.6,7.215e+05,6.507e+02,2.120e+03,7.242e+05
72.1,4.915e+05,5.674e+02,1.920e+03,4.940e+05
73.7,3.470e+05,5.791e+02,1.566e+03,3.492e+05
