freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.324e+00,2.016e+02,1.051e+02,3.130e+02
1.6,1.902e+01,1.332e+02,9.880e+01,2.510e+02
3.1,1.977e+01,3.496e+01,4.954e+01,1.043e+02
4.7,2.244e+01,4.331e+02,5.193e+01,5.075e+02
6.3,2.034e+01,1.429e+03,5.207e+01,1.501e+03
7.8,2.112e+01,2.250e+03,5.209e+01,2.323e+03
9.4,2.161e+01,3.301e+03,4.903e+01,3.372e+03
11.0,2.254e+01,4.710e+03,5.299e+01,4.786e+03
12.5,2.254e+01,6.389e+03,5.874e+01,6.470e+03
14.1,2.551e+01,8.581e+03,5.503e+01,8.662e+03
15.7,2.402e+01,1.181e+04,5.791e+01,1.189e+04
17.3,2.387e+01,1.467e+04,7.005e+01,1.477e+04
18.8,2.538e+01,1.761e+04,9.548e+01,1.773e+04
20.4,4.193e+01,2.217e+04,1.373e+02,2.234e+04
22.0,1.196e+02,2.785e+04,2.194e+02,2.819e+04
23.5,2.171e+02,3.223e+04,3.298e+02,3.278e+04
25.1,1.866e+02,3.309e+04,3.962e+02,3.367e+04
26.7,9.736e+01,3.238e+04,4.105e+02,3.289e+04
28.2,4.767e+01,3.257e+04,3.083e+02,3.292e+04
29.8,8.664e+01,3.596e+04,1.809e+02,3.622e+04
31.4,1.704e+02,4.295e+04,1.449e+02,4.326e+04
32.9,2.153e+02,4.756e+04,4.653e+02,4.824e+04
34.5,2.098e+02,5.088e+04,1.204e+03,5.229e+04
36.1,2.360e+02,6.386e+04,3.064e+03,6.716e+04
37.6,2.641e+02,8.887e+04,6.504e+03,9.564e+04
39.2,2.288e+02,1.235e+05,1.193e+04,1.357e+05
40.8,1.355e+02,1.537e+05,1.994e+04,1.738e+05
42.3,1.650e+02,1.936e+05,3.483e+04,2.286e+05
43.9,4.167e+02,2.609e+05,6.245e+04,3.237e+05
45.5,8.811e+02,3.372e+05,1.088e+05,4.469e+05
47.1,1.454e+03,3.966e+05,1.782e+05,5.763e+05
48.6,1.437e+03,3.480e+05,2.348e+05,5.843e+05
50.2,7.453e+02,2.253e+05,2.485e+05,4.746e+05
51.8,3.174e+02,1.122e+05,2.073e+05,3.198e+05
53.3,4.015e+02,4.826e+04,1.476e+05,1.963e+05
54.9,7.647e+02,2.666e+04,1.309e+05,1.583e+05
56.5,1.272e+03,2.185e+04,1.265e+05,1.497e+05
58.0,1.318e+03,2.359e+04,1.237e+05,1.486e+05
59.6,1.213e+03,2.972e+04,1.218e+05,1.527e+05
61.2,1.319e+03,3.558e+04,1.116e+05,1.485e+05
62.7,1.302e+03,3.853e+04,9.981e+04,1.396e+05
64.3,1.366e+03,3.982e+04,1.019e+05,1.431e+05
65.9,1.549e+03,3.913e+04,1.171e+05,1.578e+05
67.4,2.168e+03,3.892e+04,1.340e+05,1.751e+05
69.0,2.875e+03,4.398e+04,1.355e+05,1.823e+05
70.6,3.583e+03,4.974e+04,1.213e+05,1.747e+05
72.1,4.937e+03,5.266e+04,1.046e+05,1.622e+05
73.7,8.048e+03,5.481e+04,9.611e+04,1.590e+05
75.3,9.362e+03,5.705e+04,9.736e+04,1.638e+05
76.9,8.665e+03,5.703e+04,9.447e+04,1.602e+05
78.4,7.262e+03,5.615e+04,8.653e+04,1.499e+05
80.0,5.455e+03,5.527e+04,7.749e+04,1.382e+05
81.6,3.985e+03,5.382e+04,7.085e+04,1.287e+05
83.1,3.362e+03,5.709e+04,7.196e+04,1.324e+05
84.7,2.832e+03,6.836e+04,8.056e+04,1.518e+05
86.3,3.775e+03,7.959e+04,8.625e+04,1.696e+05
87.8,4.256e+03,8.348e+04,8.562e+04,1.734e+05
89.4,4.284e+03,8.730e+04,8.517e+04,1.768e+05
91.0,5.378e+03,8.705e+04,8.062e+04,1.730e+05
92.5,5.500e+03,8.310e+04,7.496e+04,1.636e+05
94.1,5.588e+03,8.029e+04,7.071e+04,1.566e+05
95.7,6.226e+03,7.589e+04,6.676e+04,1.489e+05
97.2,5.920e+03,6.966e+04,6.215e+04,1.377e+05
98.8,4.694e+03,5.908e+04,5.304e+04,1.168e+05
100.4,3.023e+03,4.550e+04,3.968e+04,8.821e+04
101.9,1.880e+03,3.907e+04,2.986e+04,7.081e+04
103.5,1.466e+03,4.013e+04,2.443e+04,6.603e+04
105.1,1.255e+03,5.113e+04,2.465e+04,7.704e+04
106.7,1.076e+03,6.278e+04,2.690e+04,9.076e+04
108.2,1.042e+03,6.552e+04,2.649e+04,9.304e+04
109.8,1.162e+03,6.108e+04,2.360e+04,8.584e+04
111.4,1.230e+03,5.355e+04,1.989e+04,7.466e+04
112.9,1.135e+03,4.558e+04,1.624e+04,6.296e+04
114.5,7.218e+02,4.156e+04,1.439e+04,5.667e+04
116.1,3.279e+02,4.176e+04,1.383e+04,5.592e+04
117.6,1.500e+02,4.324e+04,1.354e+04,5.693e+04
119.2,1.150e+02,3.890e+04,1.195e+04,5.097e+04
120.8,1.921e+02,2.776e+04,9.038e+03,3.699e+04
122.3,4.486e+02,1.995e+04,7.558e+03,2.796e+04
123.9,9.965e+02,2.305e+04,9.818e+03,3.386e+04
125.5,2.255e+03,3.298e+04,1.427e+04,4.951e+04
127.0,3.331e+03,4.358e+04,1.838e+04,6.529e+04
128.6,3.280e+03,4.852e+04,1.921e+04,7.101e+04
130.2,2.557e+03,4.907e+04,1.815e+04,6.979e+04
131.7,1.727e+03,4.476e+04,1.574e+04,6.223e+04
133.3,6.884e+02,1.827e+04,6.236e+03,2.520e+04
134.9,2.762e+02,2.610e+03,9.417e+02,3.827e+03
136.5,3.443e+02,1.737e+03,6.958e+02,2.777e+03
138.0,4.864e+02,1.407e+03,5.837e+02,2.477e+03
139.6,6.948e+02,1.150e+03,4.689e+02,2.314e+03
141.2,8.771e+02,7.381e+02,3.319e+02,1.947e+03
142.7,8.873e+02,5.291e+02,2.337e+02,1.650e+03
144.3,8.137e+02,6.523e+02,2.529e+02,1.719e+03
145.9,7.192e+02,1.029e+03,3.328e+02,2.081e+03
147.4,5.898e+02,1.500e+03,5.113e+02,2.601e+03
149.0,3.463e+02,2.035e+03,7.460e+02,3.127e+03
150.6,1.795e+02,2.441e+03,9.308e+02,3.552e+03
152.1,1.307e+02,2.518e+03,9.685e+02,3.617e+03
153.7,9.220e+01,2.493e+03,9.868e+02,3.572e+03
155.3,6.448e+01,2.307e+03,9.275e+02,3.299e+03
156.8,7.387e+01,1.776e+03,7.238e+02,2.573e+03
158.4,9.906e+01,1.643e+03,5.669e+02,2.309e+03
160.0,1.073e+02,2.219e+03,6.384e+02,2.964e+03
161.5,1.046e+02,2.658e+03,7.999e+02,3.563e+03
163.1,1.076e+02,2.593e+03,8.145e+02,3.515e+03
164.7,1.176e+02,2.383e+03,7.725e+02,3.273e+03
166.3,1.104e+02,2.313e+03,7.670e+02,3.191e+03
167.8,8.918e+01,2.314e+03,7.632e+02,3.166e+03
169.4,9.839e+01,2.447e+03,8.012e+02,3.347e+03
171.0,1.245e+02,2.418e+03,7.873e+02,3.330e+03
172.5,1.487e+02,2.223e+03,7.450e+02,3.116e+03
